Eu estou comendo queijo.	Eu comi o queijo.
Ela acorda cedo.	Ele costumava levantar cedo.
Ele acorda cedo.	Ela acorda cedo.
Ela acorda cedo.	Ela está acostumada a acordar cedo.
Você se acostumará logo a este clima frio.	Você se acostumará rapidamente ao temo frio.
Ela gosta de laranjas.	Ele adora laranjas.
Eu vi meus amigos ontem.	Eu me encontrei com meus amigos ontem.
Tom vive em Boston.	Tom mora em Boston.
Como você tem a audácia de dizer isso?	Como você ousa falar isso?
Como você ousa falar isso?	Como ousas dizer isso?
Como você ousa falar isso?	Como você ousa dizer isso?
Como você ousa falar isso?	Como ousam dizer isso?
Como você ousa falar isso?	Como ousais dizer isso?
Não tem nada sagrado.	Nada é sagrado.
Não há nada sagrado.	Nada é sagrado.
Estou só olhando.	Estou só olhando, obrigado.
Ele tem vinho.	Eles têm vinho.
Você sabe dirigir?	Você sabe dirigir um carro?
Você dirige?	Você sabe dirigir?
Você sabe dirigir?	Vocês sabem dirigir?
Você sabe dirigir?	O senhor sabe guiar?
Você sabe dirigir?	O senhor sabe dirigir?
Você sabe dirigir?	A senhora sabe dirigir?
"Obrigado." "Imagina."	"Obrigada." "Disponha."
"Obrigado." "Não tem de quê."	"Obrigada." "Disponha."
Obrigado! - De nada!	"Obrigada." "Disponha."
Muito obrigado! — De nada.	"Obrigada." "Disponha."
"Obrigada." "Disponha."	"Agradecido", - "Por nada".
Obrigada. Por nada.	"Obrigada." "Disponha."
O homem é um produto do meio.	O homem é um produto de suas circunstâncias.
Ele ainda é novo.	Ele ainda é jovem.
Você é jovem.	Ele ainda é jovem.
Ele ainda é jovem.	Vocês são jovens.
Ele ainda é jovem.	Tu és jovem.
Ela ainda é nova.	Ele ainda é jovem.
Mas como você é novo!	Ele ainda é jovem.
Eles são jovens.	Ele ainda é jovem.
Ele ainda é jovem.	Elas são jovens.
Você era jovem.	Ele ainda é jovem.
Ela é jovem.	Ele ainda é jovem.
Eles eram jovens.	Ele ainda é jovem.
Ele ainda é jovem.	Elas eram jovens.
Ele não sabe falar muito inglês.	Ele mal pode falar um pouco de inglês.
Ele fala um pouco de inglês.	Ele mal pode falar um pouco de inglês.
Ela mal fala inglês.	Ele mal pode falar um pouco de inglês.
Ela quase nunca fala em inglês.	Ele mal pode falar um pouco de inglês.
Ela não domina o inglês.	Ele mal pode falar um pouco de inglês.
Ele mal pode falar um pouco de inglês.	Ele raramente fala em inglês.
Ele fala mal o inglês.	Ele mal pode falar um pouco de inglês.
A felicidade não se compra.	Dinheiro não compra felicidade.
Dinheiro não se come.	Dinheiro não compra felicidade.
A saúde é mais importante do que a riqueza.	Dinheiro não compra felicidade.
Apesar dele ter dinheiro, ele não é feliz.	Dinheiro não compra felicidade.
Ele tem dinheiro, mas não é feliz.	Dinheiro não compra felicidade.
Você não pode comprar a felicidade.	Dinheiro não compra felicidade.
A felicidade não pode ser comprada.	Dinheiro não compra felicidade.
O dinheiro não dá a felicidade.	Dinheiro não compra felicidade.
A saúde é mais importante que o dinheiro.	Dinheiro não compra felicidade.
O dinheiro não traz felicidade.	Dinheiro não compra felicidade.
Não veio ninguém.	Ninguém veio.
Ninguém veio.	Ninguém apareceu.
Ninguém veio.	Ninguém virá.
As laranjas são ricas em vitamina C.	As tangerinas contêm muita vitamina C.
As laranjas são boas fontes de vitamina C.	As laranjas são ricas em vitamina C.
Você tem um celular?	Tem celular?
Você tem um celular?	Tens celular?
Você tem um celular?	Tens um telefone?
Você tem um celular?	Você está com seu celular aí?
Comprei esta câmera fotográfica por trinta e cinco mil ienes.	Comprei esta câmera por 35.000 ienes.
Tenho algo para dizer-lhe.	Podemos conversar?
Podemos falar?	Podemos conversar?
Deixe-me falar.	Podemos conversar?
Podemos conversar?	Tenho que discutir algo com você.
Gostaria de te dizer uma coisa.	Podemos conversar?
Gostaria de lhe dizer uma coisa.	Podemos conversar?
Tenho uma coisa para conversar com você.	Podemos conversar?
Queria falar sobre uma coisa.	Podemos conversar?
Tenho uma coisa para te mostrar.	Podemos conversar?
Tenho algo para lhe dizer.	Podemos conversar?
Eu tenho que te mostrar uma coisa.	Podemos conversar?
Eu tenho algo para te mostrar.	Podemos conversar?
Podemos conversar?	Permita que lhe diga uma coisa.
Podemos conversar?	Eu gostaria de conversar com você sobre generalidades.
Podemos falar com você?	Podemos conversar?
Podemos conversar?	Eu queria falar contigo sobre uma coisa.
Eu queria falar com você sobre uma coisa.	Podemos conversar?
Podemos conversar?	Eu queria falar com vocês a respeito de uma coisa.
Quero falar com você sobre algo.	Podemos conversar?
Podemos conversar?	Eu queria discutir esse assunto com você.
Podemos conversar?	Podemos falar contigo?
Tenho que te dizer algo.	Podemos conversar?
Podemos conversar?	Poderíamos falar contigo?
Podemos conversar?	Poderíamos falar convosco?
Podemos falar com vocês?	Podemos conversar?
Podemos conversar?	Poderíamos falar com o senhor?
Podemos conversar?	Podemos falar com a senhora?
Podemos conversar?	Podemos falar com os senhores?
Podemos conversar?	Poderíamos falar com as senhoras?
Eu tenho que dizer alguma coisa.	Podemos conversar?
Nós temos algo para te contar.	Podemos conversar?
Nós temos uma coisa para te contar.	Podemos conversar?
Você é meu primeiro amor.	Ela é o meu primeiro amor.
Nós temos duas orelhas.	Temos duas orelhas.
Esse não é o meu carro.	Este carro não me pertence.
Eu sou seu pai.	Sou seu pai.
Como chamam esse vegetal em inglês?	Como se chama este legume em inglês?
Você é muito valente.	Você é muito corajoso.
Você é muito corajoso.	Você é tão corajoso!
Você é muito corajoso.	Você é tão audacioso!
Você é muito corajoso.	Você é tão ousado!
Você é muito corajoso.	Você está nervoso demais.
Você é muito corajoso.	Você está nervosa demais.
Você é muito corajoso.	Vocês estão nervosos demais.
Você é muito corajoso.	Vocês estão nervosas demais.
Você tem muita coragem!	Você é muito corajoso.
Um, três e cinco são números ímpares.	1, 3 e 5 são números ímpares.
Na minha opinião, você está errado.	Acho que você está enganado.
A água é importante.	O lago é grande.
E o teu pai?	Onde está seu pai?
Onde está seu pai?	Onde está o pai de vocês?
Onde está seu pai?	Cadê o pai?
Onde está seu pai?	Onde meu pai está?
Onde está seu pai?	Cadê meu pai?
Ele acabou de sair.	Ele saiu faz pouco tempo.
Ele acabou de sair.	Ele saiu agora mesmo.
Ele acabou de sair.	Ele acaba de ir.
Ele acabou de sair.	Ele acaba de sair.
Ele acabou de sair.	Ele acabou de sair em viagem.
Ele acabou de sair.	Ele simplesmente viajou.
Isso não será fácil.	Não vai ser fácil.
Ele tinha um livro em suas mãos.	Ele segurava um livro nas mãos.
Você já teve uma doença grave?	Você já teve alguma doença grave?
Você já teve uma doença grave?	Você já foi acometido por alguma doença grave?
Estava frio ontem.	Ontem estava terrivelmente frio.
Também estou desempregado.	Também estou desempregada.
Ele é dois anos mais velho que você.	Ela é dois anos mais velha do que você.
Eu nunca vou te esquecer.	Nunca te esquecerei.
Nunca te esquecerei.	Nunca vou esquecê-la.
Sempre me lembrarei de você.	Nunca te esquecerei.
Nunca te esquecerei.	Nunca me esquecerei de tê-los visto.
Eu nunca vou me esquecer de você.	Nunca te esquecerei.
Vou lembrar de você para sempre.	Nunca te esquecerei.
Nunca te esquecerei.	Jamais te esquecerei.
Nunca te esquecerei.	Eu não vou esquecê-la jamais.
Eu vou sempre me lembrar de você.	Nunca te esquecerei.
O seu amigo gosta de chá?	A sua amiga gosta de chá?
Tom não fez isso.	Tom não fez isto.
Tom não fez isso.	Tom não fazia isso.
Eu duvido que ela ame você.	Duvido que ela te ama.
Eu duvido que ela te ame.	Duvido que ela te ama.
Está nevando hoje.	Hoje nevou.
Está nevando hoje.	Hoje está nevando.
Está nevando hoje.	Vai nevar hoje.
Está nevando hoje.	Hoje está a nevar.
Contamos com a sua ajuda.	Contamos com a ajuda de vocês.
Estamos contando com você para ajudar.	Contamos com a sua ajuda.
Jogar tênis é o seu hobby.	Jogar tênis é seu passatempo.
Qual é a sua pena preferida?	Qual é a sua condenação favorita?
Qual é a sua frase preferida?	Qual é a sua condenação favorita?
Ela o quer.	Ela o adora.
Ela o ama.	Ela o adora.
Ela o adora.	Ela gosta dele.
Ela o adora.	Ela o idolatrava.
Ele a ama.	Ela o adora.
Ela o adora.	Ele gostou disso.
Ela o adora.	Ela gostou disso.
Ela o adora.	Ele gostou daquilo.
Ela o adora.	Ela gostou daquilo.
Ela o adora.	Ele se apaixonou por ela.
Ela gosta de você!	Ela o adora.
Ela a quer.	Ela o adora.
Ela quer.	Ela o adora.
Ela o adora.	Ele está apaixonado por ela.
Ela o adora.	Ela se apaixonou por ele.
Ela o adora.	Você está apaixonada por ele.
Ela o adora.	Ela o admirou.
Ela o adora.	Ela o admirava.
Ela o adora.	Ela admirava ele.
Ele os ama.	Ela o adora.
Ele as ama.	Ela o adora.
Ela gosta.	Ela o adora.
Você gosta.	Ela o adora.
Ela te ama.	Ela o adora.
Ele te ama.	Ela o adora.
Ela o adora.	Ela gosta deles.
Esta é a revista que eu falei com você.	Esta é a revista de que lhe falei.
De quem você aprendeu isso?	Quem disse isso?
De quem você soube isso?	Quem disse isso?
Quem disse isso?	Quem te ensinou isso?
Quem disse isso?	Quem te ensinou isto?
Quem disse isso?	Com quem você aprendeu isto?
Gostaria de ver o seu ingresso, por favor.	Por favor, mostre seu tíquete.
Posso ver a sua entrada?	Por favor, mostre seu tíquete.
Posso ver o seu ingresso?	Por favor, mostre seu tíquete.
O bilhete, por favor.	Por favor, mostre seu tíquete.
Por favor, mostre o seu bilhete.	Por favor, mostre seu tíquete.
Eu vou te matar.	Eu vou matá-lo.
Eu vou matá-lo.	Eu o matarei.
Eu vou matá-la.	Eu vou matá-lo.
Morreram um após o outro.	Eles morreram um atrás do outro.
Meu pai pegou três peixes ontem.	Meu pai pescou três peixes ontem.
O tempo passa bem rápido.	O tempo passou bem rápido.
O tempo está acabando.	O tempo passou bem rápido.
O tempo passa muito rápido.	O tempo passou bem rápido.
O tempo está correndo.	O tempo passou bem rápido.
O tempo passou muito rápido.	O tempo passou bem rápido.
O tempo voou.	O tempo passou bem rápido.
Como o tempo voa.	O tempo passou bem rápido.
O tempo está passando muito rápido.	O tempo passou bem rápido.
O tempo passou bem rápido.	O tempo passa velozmente.
O tempo passou bem rápido.	O tempo passa voando.
O tempo voa.	O tempo passou bem rápido.
O tempo passou bem rápido.	O tempo voa como flecha.
O tempo passou bem rápido.	O tempo passa depressa.
Minha tia me deu um álbum.	Minha tia me deu um álbum de coleção de selos.
A abelha saiu pela janela.	Uma abelha saiu voando pela janela.
A abelha saiu pela janela.	Uma mamangava voou para fora da janela.
